,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Primary Property Type - Self Selected,Largest Property Use Type (ft²),2nd Largest Property Use (ft²),3rd Largest Property Use Type (ft²),Total area (ft²),Site Gas (kBtu/ft²),Electricity Use Grid Purchase (kBtu),ENERGY STAR Score,Property Id,Electricity Use - Grid Purchase (kBtu),Electricity Use Area (kBtu/ft²),GHG Emissions Area (Metric Tons CO2e/ft²),Water use Area (kgal/ft²),Code Property Type
0,1939,2,100,76.2,880200.0,8906.3,1121931.8,1893.4,1525.1,368.3,321464.0,5915.6,18.4,103.3,Multifamily Housing,321464.0,0.0,0.0,321464.0,2.7380982007316526,3968641.7,72,2780056,3968641.7,12.345524537739841,0.0058899285767613175,0.01840206057287908,0
1,1939,1,100,75.7,553439.4,5604.4,820016.2,1204.4,936.5,267.9,204720.0,0.0,0.0,106.6,Multifamily Housing,204720.0,0.0,0.0,204720.0,2.703396834701055,2886852.2,67,4988574,2886852.2,14.101466393122314,0.005883157483391951,0.0,0
2,1911,2,100,68.0,8786386.9,98264.5,1156269.9,847.5,475.0,372.5,189766.0,0.0,0.0,115.6,Multifamily Housing,189766.0,0.0,0.0,189766.0,46.30116511914674,4013954.9,100,2806486,4013954.9,21.15212893774438,0.004466026580103918,0.0,0
3,1911,1,100,23.7,0.0,0.0,894049.0,286.8,0.0,286.8,130629.0,0.0,0.0,74.3,Multifamily Housing,130629.0,0.0,0.0,130629.0,0.0,3090622.7,100,4988686,3090622.7,23.659544970871707,0.002195530854557564,0.0,0
4,1911,1,100,17.9,59412.9,601.0,262377.2,88.8,3.2,85.7,54913.0,231.9,4.22,53.9,Multifamily Housing,54913.0,0.0,0.0,54913.0,1.0819459872889845,923332.2,100,4988688,923332.2,16.814455593393184,0.0016171034181341395,0.004223043723708412,0
5,1973,2,100,56.2,3826349.7,39028.3,1887619.4,765.3,203.2,562.0,175885.0,237.9,1.35,131.0,Multifamily Housing,175885.0,0.0,0.0,175885.0,21.754838104443245,6056300.2,40,3111973,6056300.2,34.4332956192967,0.004351138528015465,0.001352588338971487,0
6,1952,6,100,25.5,1919800.0,19198.0,1121175.7,464.0,102.0,362.0,228570.0,0.0,0.0,62.4,Multifamily Housing,228570.0,0.0,0.0,228570.0,8.399177494859343,3900932.9,99,3129218,3900932.9,17.066688104300653,0.002030012687579297,0.0,0
7,1952,8,100,43.7,7268300.3,72683.0,1749805.6,948.1,386.1,562.1,304760.0,0.0,0.0,87.4,Multifamily Housing,304760.0,0.0,0.0,304760.0,23.84925941724636,6057016.5,88,3129256,6057016.5,19.874709607560046,0.0031109725685785536,0.0,0
8,1950,1,100,0.5,28000.0,280.0,0.0,1.5,1.5,0.0,54138.0,0.0,0.0,0.5,Residence Hall/Dormitory,54138.0,0.0,0.0,54138.0,0.517196793379881,0.0,100,3114649,0.0,0.0,2.77069710739222e-05,0.0,4
9,1908,1,100,6.1,157800.0,1468.2,28872.0,17.5,8.4,9.1,57300.0,1668.9,39.41,11.2,Multifamily Housing,42352.0,0.0,0.0,42352.0,3.7259161314695883,98511.3,100,2977473,98511.3,2.3260129391764264,0.00041320362674726103,0.039405459010200226,0
